Shrines,zeldadungeon_links,Coordinators,youtube_link,walkthrough,Location,Enemies,Items,Materials,Prerequisite,Rewards,Type,Skills,Inhabitants,Related,Depths Counterpart,Coordinates_y,Quests
Joku-usin Shrine,https://www.zeldadungeon.net/wiki/Joku-usin_Shrine,"1074, -3347, 0786",https://www.youtube.com/watch?v=jCe3TDudH2U,"Joku-usin Shrine, also known as Proving Grounds: Short Circuit, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the Thunderhead Isles. To reach the shrine, Link will need to put a platform on the rails below the shrine, using a Fan to propel it. When Link is underneath the shrine, he can use Ascend to climb up and get just outside the shrine. Proving Grounds: Short Circuit Video Walkthrough Gallery Assemble a wooden platform over the rails, with another wood platform connected to it pointing downward, between the rails Use a Fan to propel the platform on the rails Reach the area directly underneath the shrine Use Ascend to climb up to get to the shrine Link outside the Shrine Grab the Shock Emitter on the other side Use the Shock Emitter to attack enemies Grab the Electro Elixir at the end",Faron Grasslands Sky,,Electro Elixir,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,,,
Josiu Shrine,https://www.zeldadungeon.net/wiki/Josiu_Shrine,"1759, -1208, 0924",https://www.youtube.com/watch?v=EOt_f-iLVlQ,"Josiu Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the North Necluda Sky Archipelago. Shrine Quest: The North Necluda Sky Crystal Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,,,
Kadaunar Shrine,https://www.zeldadungeon.net/wiki/Kadaunar_Shrine,"1879, 1201, 1251",https://www.youtube.com/watch?v=-uOEp-ddtN0,"Kadaunar Shrine, also known as Water Makes a Way, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the South Eldin Sky Archipelago. Water Makes a Way Alternatively, if Link has the paraglider and a rocket fused to his shield, he can use it to rocket-jump and glide over the lava. (This must be done before entering the shrine, as Zonai Capsules cannot be opened inside.) Video Walkthrough Gallery Link outside the Shrine",Eldin Canyon Sky,,Hydrant Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,,,,
Kahatanaum Shrine,https://www.zeldadungeon.net/wiki/Kahatanaum_Shrine,"-3295, 3430, 1347",https://www.youtube.com/watch?v=oUggbL1uH6A,"Kahatanaum Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the Rising Island Chain near the Wind Temple. Rauru's Blessing The shrine is a blessing shrine. Move forward, open the chest for a Large Zonai Charge, and then examine the altar for your well-earned Light of Blessing.",Hebra Mountains Sky Rising Island Chain,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,,,
Kumamayn Shrine,https://www.zeldadungeon.net/wiki/Kumamayn_Shrine,"2856, -2853, 1212",https://www.youtube.com/watch?v=5vAK9huqOdg,"Kumamayn Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the Necluda Sky Archipelago. Rauru's Blessing Gallery",,,,,,Light of Blessing,Shrine of Light,,,,,,
Mayam Shrine,https://www.zeldadungeon.net/wiki/Mayam_Shrine,"0337, 2814, 1820",,"Mayam Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the North Hyrule Sky Archipelago. Shrine Quest: The North Hyrule Sky Crystal Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Magic Rod,,,Light of Blessing,Shrine of Light,,,,,,
Mayanas Shrine,https://www.zeldadungeon.net/wiki/Mayanas_Shrine,"4611, -0944, 1789",https://www.youtube.com/watch?v=PzCKGOezOjo,"Mayanas Shrine, also known as The Ice Guides You, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on Valor Island in the South Lanayru Sky Archipelago. The Ice Guides You For the first room, simply activate the Frost Emitter and use Ultrahand to point it at the water to create ice sheets, slide them down the slope to hit the target. Chest is located in the second puzzle past the Altar, again use the Frost Emitter to create ice sheets, before sending them down the slope, we need to block off the far end of the spikes to stop them which will then slide onto the target. Use the 4 solid slates to create two 2x1, then use them to move over the spikes using Ultrahand. Then make them into a 4x1 just before the edge of the target. Then glide to the ladder in the corner to get back to the slope, and slide down your created ice sheets. Video Walkthrough Gallery",,,Mighty Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,,,
Mayasiar Shrine,https://www.zeldadungeon.net/wiki/Mayasiar_Shrine,"-3544, -0320, 1965",https://www.youtube.com/watch?v=Y_HjfkzxI6k,"Mayasiar Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on Starview Island in North Gerudo Sky Archipelago. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",Starview Island,,Star-Fragment Staff,,,Light of Blessing,Shrine of Light,,,,,,
Mayaumekis Shrine,https://www.zeldadungeon.net/wiki/Mayaumekis_Shrine,"-2950, 3048, 0896",https://www.youtube.com/watch?v=2AtHpsiSJ-U,"Mayaumekis Shrine, also known as Downward Force, is a Shrine of Light from Tears of the Kingdom. This shrine is found on the Rising Island Chain near the Wind Temple. Downward Force Video Walkthrough Gallery Link reaching the shrine Shoot the target with an Arrow to unlock the door Defeat the Soldier Construct Jump on the boats and they will launch Link up into the air Glide over to the moving boat Glide to the Treasure Chest to get ten arrows Bounce up and hit the target with an arrow Bounce up through the opening created from hitting the switch Glide to the altar and get the Light of Blessing",Rising Island Chain,,10 Arrows,,,Light of Blessing,Shrine of Light,,,,,,
Mogisari Shrine,https://www.zeldadungeon.net/wiki/Mogisari_Shrine,"4655, 3497, 1010",https://www.youtube.com/watch?v=Ot9_TN82d60,"Mogisari Shrine, also known as Courage to Jump, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the Lomei Sky Labyrinth. Courage to Jump The same strange moon-like gravity is apparent inside the shrine as surrounds the Lomei Sky Labyrinth, causing Link to windmill his arms with each slow motion jump. Climb on one of the pre-built moon-buggy vehicles and take off forward, jumping over the first gap, skidding over the shallow lava pit and jumping the next gap, then rolling over the spiked floor on the first tilted platform. You may want to stop here to take out the two Soldier Constructs on the next tilted platform to the right, or you could speed past them by keeping to the left. Continue forward and drive through the laser beams, but stop again (the lower wall should catch the vehicle) to take out the next two Soldier Constructs. The path splits here. To the upper left there are bombable blocks blocking the path, behind which is a Treasure Chest containing a Mighty Zonaite Shield. If you take the lower right path, be sure to swerve to avoid the explosive barrels first on the right side, then the left. The paths reconverge here, but it splits again to the left and right. There is a fifth Soldier Construct to deal with on the left, as well as another vehicle and Rockets. The left path ramps upward at the end, whereas the right path slopes downward, so attach two Rockets to the vehicle to jump the final gap on the left side. Approach the altar and receive the Light of Blessing. Video Walkthrough Gallery",Lomei Sky Labyrinth,,Mighty Zonaite Shield,,,Light of Blessing,Shrine of Light,,Soldier Constructs,,,,
Nachoyah Shrine,https://www.zeldadungeon.net/wiki/Nachoyah_Shrine,"0388, -1660, 2299",https://www.youtube.com/watch?v=AgdRbP46f-0,"Nachoyah Shrine, also known as The Ability to Rewind, is a Shrine of Light from Tears of the Kingdom. This shrine is the fourth and final shrine found on the Great Sky Island. Link will need to utilize his newly acquired Recall ability. The Ability to Rewind Video Walkthrough Gallery Exterior as Link approaches it Link opens shrine Use Recall on the wooden platform to reverse its direction and then jump on it Use Recall again and the wooden platform will carry Link up the waterfall Use Recall on the large gear to reach a treasure with ten Arrows When the hands of what looks like an analog clock are in line with one another, the door will open Use Recall on the outer hand once they cross to cause them to move in unison, allowing Link to run through the open door",Great Sky Island,,,,,Light of Blessing,Shrine of Light,,,,,,
Natak Shrine,https://www.zeldadungeon.net/wiki/Natak_Shrine,"3668, 1482, 1557",,"Natak Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the Sokkala Sky Archipelago. Rauru's Blessing Enter the sphere near the shrine. Rotate the device in the center using ultrahand. Take the nearby crystal and put it on the spring. Launch crystal & Link toward the shrine. Deliver the crystal to unlock the blessing. Gallery",,,Enduring Elixir,,,Light of Blessing,Shrine of Light,,,,,,
Rakashog Shrine,https://www.zeldadungeon.net/wiki/Rakashog_Shrine,"-1714, -2118, 1149",https://www.youtube.com/watch?v=BZ_L7ZkdOUk,"Rakashog Shrine, also known as A Reflective Device, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the East Gerudo Sky Archipelago. A Reflective Device Video Walkthrough Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,,,
Sihajog Shrine,https://www.zeldadungeon.net/wiki/Sihajog_Shrine,"4545, -0846, 1121",https://www.youtube.com/watch?v=h9qr5ZMI41s,"Sihajog Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on Valor Island in South Lanayru Sky Archipelago. Rauru's Blessing The shrine is a blessing shrine, with one treasure chest that contains a Diamond. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,,,
Simosiwak Shrine,https://www.zeldadungeon.net/wiki/Simosiwak_Shrine,"0160, 1968, 0758",https://www.youtube.com/watch?v=irk0FMn27XQ,"Simosiwak Shrine, also known as Proving Grounds: Lights Out, is a Shrine of Light from Tears of the Kingdom. Contents Requirements This Shrine is found on Bravery Island in the North Hyrule Sky Archipelago. To make it accessible, Link must perform a trial run of the island's Dive Ceremony. While not essential, the simplest way to do this is to talk to the Steward Construct on the lower level, who will take him to the highest part of the island off-camera. Whether he does this or reaches it by another means, this allows him to activate the Zonai pedestal, which generates the rings he must dive through to complete his trial run and reveal the shrine. Proving Grounds: Lights Out As a Proving Grounds shrine, Link's armor, weapons, bows and shields are taken from him when he enters; including extra inventory slots from Hestu. This leaves him standing in only his underpants, although - despite the introduction saying ""Outside equipment is forbidden"" - he retains his key items, including Right Arm abilities and paraglider. While he also loses any Temporary Hearts and Temporary Stamina, any food effect with a duration - such as glow - does remain active until time runs out. The shrine itself is completely dark. At the start is a Wooden Stick and two ""Light Shields"" - Old Wooden Shields pre-fused to Zonai Device Lights. The object of the shrine is to defeat two Soldier Constructs and a Captain Construct I. The latter has multiple rubies near it, which it fuses to make fire weapons to use against Link. If Link succeeds, his inventory, health and stamina is reset to its state before he entered the shrine, and the door to the reward room opens. This contains a Treasure Chest with a Bright Elixir (Glow level 3, 9:10 duration), and the statues of Rauru and Sonia, which give Link a Light of Blessing when activated. Video Walkthrough Footnotes References",,,,,,,,,,,,,
Siyamotsus Shrine,https://www.zeldadungeon.net/wiki/Siyamotsus_Shrine,"-1795, -3296, 1011",https://www.youtube.com/watch?v=nv1QbLI1AQ8,"Siyamotsus Shrine, also known as Unlit Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the South Lomei Castle Top Floor. Unlit Blessing As you move forward to claim the blessing, the platform will change and shift. Use a bow and fire element to light the 2 missing flames. This will move the chest and show a launch platform. Glide to claim the blessing. Video Walkthrough Gallery",,,Construct Bow,,,Light of Blessing,Shrine of Light,,,,,,
Taninoud Shrine,https://www.zeldadungeon.net/wiki/Taninoud_Shrine,"-1804, 3047, 0948",https://www.youtube.com/watch?v=pTCgjp5hZY8,"Taninoud Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the East Hebra Sky Archipelago. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Topaz,,,Light of Blessing,Shrine of Light,,,,,,
Taunhiy Shrine,https://www.zeldadungeon.net/wiki/Taunhiy_Shrine,"-2405, 0825, 0615",https://www.youtube.com/watch?v=xqzvNlxpM7I,"Taunhiy Shrine, also known as Combat Training: Archery, is a Shrine of Light from Tears of the Kingdom. The Shrine is located on Courage Island in the Tabantha Sky Archipelago. To unlock the shrine, Link will need to first travel to the very top of Courage Island. This area can be reached by using Lindor's Brow Skyview Tower and then gliding to the southwest. After activating the portal here, a green ring will appear in the distance. Link will need to jump through the ring, as well as a series of green rings as he glides his way down Courage Island. If he successfully passes through all the rings, Taunhiy Shrine will appear. Combat Training: Archery Video Walkthrough Gallery Glide in the air and shoot the Soldier Construct with an Arrow. Defeat the three Soldier Constructs with arrows",Courage Island,,Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,Combat Training Combat Training: Archery Combat Training: Shields Combat Training: Sneakstrike Combat Training: Throwing,,,
Tenbez Shrine,https://www.zeldadungeon.net/wiki/Tenbez_Shrine,"-0971, 3535, 1011",https://www.youtube.com/watch?v=tzLw5zxeCMw,"Tenbez Shrine, also known as Gravity and Velocity, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the North Lomei Castle Top Floor in the East Hebra Sky Archipelago. Gravity and Velocity Hit the first gravity switch and wait until the giant ball hits the target. Keep on low gravity, and get a Large Zonai Charge from the chest and then jump into the left launcher and have it launch you into the upper room that opened. Go over to the gravity switch in this room and once the giant ball is launched over the walled in switch, hit the gravity switch to make the giant ball fall. If you hit it too early it'll just drop before the target, and if you hit it too late it'll fall behind it. Video Walkthrough Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,,,
Ukoojisi Shrine,https://www.zeldadungeon.net/wiki/Ukoojisi_Shrine,"1470, -2170, 0585",https://www.youtube.com/watch?v=xaDXe1YoJEU,"Ukoojisi Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. This Shrine is found in the West Necluda Sky Archipelago. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Mighty Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,,,
Ukouh Shrine,https://www.zeldadungeon.net/wiki/Ukouh_Shrine,"0274, -0913, 1460",https://www.youtube.com/watch?v=RoonS60l_ms,"Ukouh Shrine, also known as The Ability to Create, is a Shrine of Light from Tears of the Kingdom. This shrine is found on the Great Sky Island and is the first shrine that Link will encounter. Here he will acquire the Ultrahand ability. The Ability to Create Video Walkthrough Gallery Shrine name Exterior as Link approaches it Link opens shrine Use Ultrahand to move the platform and create a bridge across Attach two platforms together to create an even longer platform Use this long platform to get across the gap Use that same long platform as a ramp and reach the Treasure Chest to get an Amber gem Attach the Hook to the Wooden Board Then attach the combined object onto the rail Ride the object down to the end of the shrine",Great Sky Island,,Amber,,,Light of Blessing,Shrine of Light,Ultrahand,,,,,
Yansamin Shrine,https://www.zeldadungeon.net/wiki/Yansamin_Shrine,"2350, -1782, 1475",https://www.youtube.com/watch?v=-KJLhnDAr30,"Yansamin Shrine, also known as Proving Grounds: Low Gravity, is a Shrine of Light from Tears of the Kingdom. This Shrine is found on the Zonaite Forge Island in the Necluda Sky Archipelago. Proving Grounds: Low Gravity Video Walkthrough Gallery",,,Large Zonaite,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,,,
Eutoum Shrine,https://www.zeldadungeon.net/wiki/Eutoum_Shrine,"-3506, 3570, 0387",https://www.youtube.com/watch?v=bevmQfgc-uQ,"Eutoum Shrine, also known as Proving Grounds: Infiltration, is a Shrine of Light from Tears of the Kingdom. The Shrine is located far north of Rospro Pass Skyview Tower at the Goflam's Secret Hot Spring. Proving Grounds: Infiltration Video Walkthrough Gallery Defeat the Soldier Constructs on the perimeter first Toss the barrels to get some Arrows",Goflam's Secret Hot Spring,,Sapphire,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Muotue Lightroot,,
Gasas Shrine,https://www.zeldadungeon.net/wiki/Gasas_Shrine,"-4155,0097, 0040",https://www.youtube.com/watch?v=zQKUHUdZj5E,"Gasas Shrine, also known as Well-Timed Cuts, is a Shrine of Light from Tears of the Kingdom. The Shrine is located far southwest of Tabantha Bridge Stable, at the far west end of the Tanagar Canyon. Well-Timed Cuts Video Walkthrough Gallery",,,Large Zonai Charge Small Key,,,Light of Blessing,Shrine of Light,,,,Sasag Lightroot,,
Gatakis Shrine,https://www.zeldadungeon.net/wiki/Gatakis_Shrine,"-3650, 1805, 0168",https://www.youtube.com/watch?v=1K3X9XaNeac,"Gatakis Shrine, also known as Ride the Winds, is a Shrine of Light from Tears of the Kingdom. This shrine is found at Rito Village. Ride the Winds Video Walkthrough Gallery Arriving at the Shrine Glide over with the Paraglider Carefully avoid the lasers Drop down through the whole in the fan Fall through the ice to break it Defeat the Soldier Constructs and open the chest for a Strong Construct Bow Carefully make your way through the hole Glide all the way back to the top of the shrine",Rito Village,,Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,,Sikatag Lightroot,,
Ikatak Shrine,https://www.zeldadungeon.net/wiki/Ikatak_Shrine,"-3952, 1141, 0111",https://www.youtube.com/watch?v=_o9NIoDih5U,"Ikatak Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Gisa Crater. Shrine Quest: The Gisa Crater Crystal Interact with the shrine to start this quest. A beam of light will appear, leading towards the crystal you need to find. Break the rocks south of the shrine covering the Gisa Crater Cave and jump down. Follow the path up to a round area, killing enemies on the way. The crystal is guarded by two Ice Likes. Either kill them or use Ultrahand to grab it at a distance. Place the crystal in the center of the room and attach two of the nearby rockets to the sides. Aim it upwards and hit it to activate the rockets, propelling it out of the cave. Use Ascend to leave the cave. Bring the crystal to the shrine entrance to finish the quest. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Big Battery,,,Light of Blessing,Shrine of Light,,,,Kataki Lightroot,,
Iun-orok Shrine,https://www.zeldadungeon.net/wiki/Iun-orok_Shrine,"-3538, 0853, -0133",https://www.youtube.com/watch?v=AsYtdkeD7Pc,"Iun-orok Shrine, also known as The Right Roll, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northwest of Tabantha Bridge Stable, inside the Tanagar Canyon West Cave across the chasm. Contents Requirements Follow the path through Tanagar Canyon West Cave. Break the rocks blocking the path forward. Take a right once you get through and follow the path to another wall of rocks blocking the path. Break those too and continue along the path until you reach the shock Like Likes. Either kill or ignore them, and break the rock wall on the side again. This one is very deep, so it will take a while. The entrance to the shrine will be found on the right side of the rock wall if you don't want to break all of it. Follow the path through to the shrine. The Right Roll Video Walkthrough Gallery",,,Arrows,,,Light of Blessing,Shrine of Light,,,,Koro-nui Lightroot,,
Mayaotaki Shrine,https://www.zeldadungeon.net/wiki/Mayaotaki_Shrine,"-0826, 3535, 0234",https://www.youtube.com/watch?v=uCQLMtyzaN8,"Mayaotaki Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in North Lomei Labyrinth. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,Ikatoayam Lightroot,,
Mayausiy Shrine,https://www.zeldadungeon.net/wiki/Mayausiy_Shrine,"-1165, 2602, -0083",https://www.youtube.com/watch?v=DkTqUyAtKGE,"Mayausiy Shrine, also known as Building Blocks, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Forgotten Temple. Building Blocks Video Walkthrough Gallery Place the first ""L"" Shaped Block Complete the Puzzle Defeat the Soldier Construct Move the blocks to reach the chest that contains a Large Zonai Charge Place the 4-piece block, closest to the closed gate Place the next 4-piece block adjacent to it Finish the puzzle with the ""L"" shaped Block",Forgotten Temple,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,Soldier Construct,,Yisuayam Lightroot,,
Nouda Shrine,https://www.zeldadungeon.net/wiki/Nouda_Shrine,"-2319, 2202, 0173",https://www.youtube.com/watch?v=dFFPtNJTU1E,"Nouda Shrine, also known as Proving Grounds: Intermediate, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southwest of Snowfield Stable.
Hidden within the Kopeeki Drifts Cave.
The entrance to the cave is located in the southern part of Kopeeki Drifts. Upon entering the cave, Link must cross fridge waters to reach the Nouda Shrine.
Link can employ two methods to cross.
Slow method: To the right of the cave entrance there is an opening that contains a pool of water and an Ice Like and a few other goodies scattered about. Link must engage the Ice Like to cause it to breath it's icy breath on the water which in return causes some icy platforms to form, allowing Link to use them to cross the freezing waters to the shrine.
Fast Method: Link can use his creative talents and abilities to cross the deadly cold waters, items required are Flint, Wood, and a Hylian Pine Cone. Have Link drop them near the edge of the cold cold water, strike the Flint like a match and jump into the updraft cause by the Hylian Pine Cone and glide safely to the shrine. Proving Grounds: Intermediate A recommended strategy is to take out the fire archer on the right without alerting the others, then burn the leaves around the shock archer. The shock item can help neutralize the one with a spike-ball weapon, which you can then take for yourself to help take out the last one after sniping the archers on top. Video Walkthrough Gallery",Kopeeki Drifts Cave,,Hearty Elixir,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Aduon Lightroot,,
